time, ID, px, py, vx, vy
2, 62, 273.67752, 532.3596, 3.853873, -2.5419056
2, 63, 257.90207, 228.34344, -4.0572276, -0.978086
2, 64, 261.31757, 27.295355, -2.3555424, -2.0857542
2, 65, 262.45587, 532.46533, -1.7208527, -2.1860666
2, 66, 259.2197, 153.17754, -3.4036114, -1.0593556
2, 67, 270.66687, 328.6968, 2.4013166, -4.2854686
2, 68, 265.1695, 522.253, -0.38445687, 2.461763
2, 69, 270.106, 183.22318, 2.1121197, -2.723459
2, 70, 258.4675, 481.68732, -3.7716894, 3.0761023
2, 71, 263.5616, 385.9174, -1.1697172, -2.1898394
2, 72, 262.42316, 112.76384, -1.777068, -2.6048026
2, 73, 261.46014, 457.60623, -2.2232592, 4.408516
2, 74, 261.26215, 218.09389, -2.3064961, 2.930132
2, 75, 274.4029, 259.6458, 4.2081194, -0.67470664
2, 76, 272.6072, 350.27066, 3.339647, -3.051407
2, 77, 262.95715, 484.6328, -1.4485661, -3.1562276
2, 78, 272.8266, 146.54025, 3.442885, -1.207694
2, 79, 256.87567, 349.88507, -4.538499, -2.0146813
2, 80, 259.87054, 269.665, -3.0436463, -1.7454818
2, 81, 261.23666, 398.5179, -2.3870645, 1.1342483
2, 82, 269.79736, 525.9399, 1.9252245, 1.0484681
2, 83, 267.466, 215.07285, 0.8013639, -3.080379
2, 84, 261.0915, 190.3711, -2.3597155, 3.8429697
2, 85, 259.4115, 449.6467, -3.2988973, 1.004033
2, 86, 257.51483, 235.30386, -4.2075577, 2.0485766
2, 87, 266.64764, 87.2034, 0.38662785, 3.7470396
2, 88, 263.41724, 118.12678, -1.2120355, -4.1304483
2, 89, 264.8211, 58.382557, -0.52782196, 2.6894844
2, 90, 261.8133, 384.74725, -2.0745935, 1.2777025
2, 91, 271.966, 225.60506, 3.003415, 1.4882443
2, 92, 259.72018, 128.2184, -3.146657, -1.3438447
2, 93, 265.2329, 192.4008, -0.31631482, 2.7249157
2, 94, 261.1807, 272.7247, -2.402626, 0.610086
2, 95, 269.54578, 68.06315, 1.7725526, 1.7176002
2, 96, 262.52078, 143.52419, -1.7472656, -1.0381978
2, 97, 264.28885, 181.58737, -0.78924614, -4.4475775
2, 98, 271.5286, 563.62964, 2.7563512, -0.79265875
2, 99, 264.194, 182.74532, -0.79414386, -4.6672783
3, 0, 261.30624, 451.95453, -1.4828936, -1.810889
3, 1, 256.45743, 110.87232, -3.0925493, -3.5622094
3, 2, 259.57242, 321.74423, -2.06428, -1.8595697
3, 3, 259.1465, 213.0613, -2.1214275, 3.6645236
3, 4, 253.23045, 66.085945, -4.190387, 1.6122348
3, 5, 275.1338, 56.52479, 3.0360973, 0.6605991
3, 6, 276.10236, 210.43605, 3.369392, 0.42043352
3, 7, 272.26257, 213.88174, 2.0885832, 1.8882625
3, 8, 271.26895, 168.78787, 1.8830795, -3.012416
3, 9, 272.4808, 63.4583, 2.1848059, -0.66867286
3, 10, 274.27527, 384.77725, 2.7633035, 0.5032469
3, 11, 272.94406, 434.49106, 2.3649368, -2.4184427
3, 12, 271.93872, 291.82574, 2.0694287, 1.8888029
3, 13, 255.5784, 82.47331, -3.460271, -1.9053843
3, 14, 274.91217, 234.00908, 2.9624043, 0.97791433
3, 15, 272.31992, 290.60507, 2.1357434, 1.659263
3, 16, 269.9971, 140.15224, 1.407131, 2.4296727
3, 17, 274.4096, 93.29996, 2.929453, -2.412274
3, 18, 260.22208, 533.20856, -1.9346912, 1.5390713
3, 19, 271.0711, 141.82242, 1.7003607, 2.0384216
3, 20, 259.94403, 372.08102, -2.008261, 0.6474147
3, 21, 259.97153, 270.1192, -1.8552318, 3.209605
3, 22, 260.42648, 363.50742, -1.85967, 1.3408986
3, 23, 272.6884, 48.28587, 2.2243068, 2.0930953
3, 24, 258.1493, 521.73865, -2.4808939, 4.1398516
3, 25, 273.16638, 29.706116, 2.4114606, -0.42893207
3, 26, 262.0944, 314.2845, -1.2179884, -1.92849
3, 27, 271.92722, 127.94069, 2.0113919, 2.301974
3, 28, 268.17493, 510.49054, 0.7678278, -2.0778894
3, 29, 268.41534, 330.6997, 1.0036021, 4.0999928
3, 30, 262.5851, 429.89233, -0.9980232, 3.9181175
3, 31, 267.26938, 63.647552, 0.48995045, 1.9391919
3, 32, 273.41318, 111.72143, 2.4688466, 0.18166415
3, 33, 259.42123, 326.38632, -2.1599295, 1.3190068
3, 34, 278.73828, 145.18617, 4.2465677, -0.05654394
3, 35, 255.69034, 362.1107, -3.2875907, -3.245556
3, 36, 264.6935, 202.99799, -0.3129269, -3.639355
3, 37, 273.04742, 121.5355, 2.5061512, -3.039892
3, 38, 268.2704, 128.02966, 0.8464697, -1.8874757
3, 39, 257.15994, 425.97604, -2.8102105, -3.50497
3, 40, 279.52438, 351.199, 4.516265, 0.89100194
3, 41, 274.9335, 37.05205, 2.9613297, 0.5567427
3, 42, 260.46054, 370.06985, -1.688283, -3.9270108
3, 43, 274.09683, 406.28186, 2.696464, -0.15674712
3, 44, 254.5834, 429.05536, -3.8099434, 0.5835518
3, 45, 272.06793, 512.45264, 2.019029, -2.4228644
3, 46, 275.17526, 29.0629, 3.2388744, -3.587388
3, 47, 259.82617, 397.97333, -1.9918412, -1.4487959
3, 48, 273.46646, 445.34564, 2.5581214, -3.2693424
3, 49, 261.33496, 74.74327, -1.4892386, 1.4726701
3, 50, 271.83374, 456.82553, 2.0028741, -3.6098437
3, 51, 256.78412, 224.27377, -2.9116557, 3.3332949
3, 52, 265.42523, 544.13574, -0.088292524, 3.4146423
3, 53, 254.52524, 477.76425, -3.7955966, 3.0537012
3, 54, 269.4463, 553.37384, 1.1931303, -3.0622733
3, 55, 260.68954, 105.613396, -1.6519886, 2.447234
3, 56, 260.30048, 471.1697, -1.8720374, 2.472419
3, 57, 258.29877, 35.407402, -2.4900568, 1.6605588
3, 58, 275.0624, 557.6385, 3.0048225, -1.3871986
3, 59, 271.24982, 271.0571, 1.7696582, 1.0606134
3, 60, 266.64343, 279.58292, 0.3648085, 3.0036645
3, 61, 269.5076, 284.46878, 1.285846, 2.3106174
3, 62, 277.56018, 529.8619, 3.882654, -2.4977226
3, 63, 253.82887, 227.43414, -4.0731964, -0.909296
3, 64, 258.9326, 25.24332, -2.3849754, -2.0520334
3, 65, 260.8426, 530.1987, -1.6132673, -2.2666254
3, 66, 255.7903, 152.20491, -3.4294016, -0.97262996
3, 67, 273.19833, 324.4869, 2.5314646, -4.2098985
3, 68, 264.84933, 524.72394, -0.32017374, 2.4709456
3, 69, 272.33035, 180.59059, 2.2243598, -2.6325848
3, 70, 254.68456, 484.74957, -3.7829406, 3.0622554
3, 71, 262.49496, 383.67554, -1.0666653, -2.2418432
3, 72, 260.66992, 110.14294, -1.7532312, -2.620906
3, 73, 259.33444, 462.0626, -2.1257067, 4.4563727
3, 74, 259.08725, 221.12297, -2.1749086, 3.0290878
3, 75, 278.62256, 259.0476, 4.219672, -0.5982199
3, 76, 276.0152, 347.29578, 3.4079783, -2.9748967
3, 77, 261.65518, 481.41333, -1.3019767, -3.2194676
3, 78, 276.32056, 145.48946, 3.4939682, -1.0507946
3, 79, 252.38863, 347.75827, -4.4870524, -2.1267984
3, 80, 256.87244, 267.84244, -2.9981139, -1.822581
3, 81, 258.83856, 399.62863, -2.398106, 1.1107132
3, 82, 271.7706, 526.8949, 1.9732392, 0.9550404
3, 83, 268.4001, 212.03009, 0.9340966, -3.042759
3, 84, 258.92636, 194.32697, -2.1651332, 3.9558651
3, 85, 256.1032, 450.6194, -3.3082755, 0.9726851
3, 86, 253.38454, 237.50406, -4.1302953, 2.2001977
3, 87, 267.15588, 90.93589, 0.50822747, 3.7324915
3, 88, 262.36935, 113.95166, -1.0478702, -4.175117
3, 89, 264.41556, 61.093178, -0.40554398, 2.7106192
3, 90, 259.77945, 386.0889, -2.0338311, 1.3416382
3, 91, 275.00696, 227.015, 3.040958, 1.4099461
3, 92, 256.55978, 126.9072, -3.1604023, -1.3111928
3, 93, 265.05096, 195.13797, -0.18195306, 2.7371726
3, 94, 258.79416, 273.39496, -2.3865392, 0.67026
3, 95, 271.3177, 69.7814, 1.7719203, 1.7182525
3, 96, 260.7579, 142.5127, -1.7628645, -1.0114841
3, 97, 263.63718, 177.11757, -0.651687, -4.4698052
3, 98, 274.26852, 562.7819, 2.7399213, -0.8477098
3, 99, 263.62177, 178.04567, -0.57223743, -4.699648
4, 0, 259.9111, 450.07523, -1.3951567, -1.8793166
4, 1, 253.45955, 107.23008, -2.9978805, -3.6422398
4, 2, 257.5939, 319.79367, -1.978513, -1.9505734
4, 3, 257.19733, 216.82025, -1.9491986, 3.7589643
4, 4, 249.1195, 67.89116, -4.110943, 1.8052117
4, 5, 278.1611, 57.224564, 3.0273082, 0.6997732
4, 6, 279.4735, 210.84215, 3.37115, 0.4060976
4, 7, 274.35217, 215.76889, 2.0895855, 1.887153
4, 8, 273.2713, 165.85338, 2.0023398, -2.9344974
4, 9, 274.68604, 62.860447, 2.2052374, -0.59785384
4, 10, 277.0429, 385.25604, 2.7676473, 0.47878233
4, 11, 275.3558, 432.1193, 2.411732, -2.3717802
4, 12, 274.09045, 293.6202, 2.1517467, 1.7944634
4, 13, 252.13268, 80.54174, -3.4457214, -1.9315718
4, 14, 277.8664, 235.01146, 2.9542131, 1.0023878
4, 15, 274.48257, 292.2291, 2.16266, 1.6240244
4, 16, 271.4743, 142.53996, 1.4772005, 2.3877194
4, 17, 277.4551, 91.03598, 3.0455143, -2.263979
4, 18, 258.27823, 534.736, -1.9438531, 1.5274832
4, 19, 272.78085, 143.85297, 1.7097594, 2.030545
4, 20, 257.94754, 372.7639, -1.9964889, 0.68285346
4, 21, 258.2779, 273.41693, -1.6936343, 3.2977345
4, 22, 258.56488, 364.8456, -1.8616107, 1.3382032
4, 23, 274.9078, 50.384155, 2.2194107, 2.0982862
4, 24, 255.81291, 525.96173, -2.3363736, 4.2230983
4, 25, 275.59393, 29.380272, 2.42754, -0.32584384
4, 26, 260.96573, 312.3024, -1.1286503, -1.9820992
4, 27, 273.97195, 130.2131, 2.0447276, 2.2724154
4, 28, 268.983, 508.42798, 0.8080738, -2.0625718
4, 29, 269.617, 334.7461, 1.2016466, 4.0463815
4, 30, 261.7341, 433.845, -0.85099983, 3.9526563
4, 31, 267.8227, 65.569626, 0.5533056, 1.9220743
4, 32, 275.87927, 111.937386, 2.4660838, 0.2159543
4, 33, 257.29794, 327.76355, -2.1232846, 1.3772209
4, 34, 282.9851, 145.1544, 4.2468257, -0.031762872
4, 35, 252.56396, 358.70956, -3.126379, -3.4011233
4, 36, 264.50864, 199.34988, -0.18488249, -3.648102
4, 37, 275.70203, 118.624344, 2.6546009, -2.911156
4, 38, 269.20587, 126.184685, 0.9354778, -1.8449816
4, 39, 254.49622, 422.3585, -2.66373, -3.6175456
4, 40, 284.04803, 352.0518, 4.5236387, 0.85277385
4, 41, 277.87436, 37.708385, 2.940861, 0.65633297
